<TICKER>,<PER>,date,time,open,high,low,close,volume,<OPENINT>
WIG20,60,20240509,120000,2562.01,2566.86,2558.98,2565.07,2208883,0
WIG20,60,20240509,130000,2564.97,2568.95,2562.68,2567.01,1986311,0
WIG20,60,20240509,140000,2567.1,2569.25,2561.02,2562.24,1654465,0
WIG20,60,20240509,150000,2562.34,2573.52,2554.78,2562.56,2510182,0
WIG20,60,20240509,160000,2563.71,2565.51,2557.83,2559.79,3864640,0
WIG20,60,20240509,170000,2559.65,2573.07,2558.21,2565.64,6126698,0
WIG20,60,20240510,100000,2574.83,2577.09,2565.64,2565.64,4623033,0
WIG20,60,20240510,110000,2564.31,2565.56,2551.48,2552.64,3332599,0
WIG20,60,20240510,120000,2553.09,2558.15,2549.75,2553.68,3695464,0
WIG20,60,20240510,130000,2553.73,2554.93,2546.48,2554.88,5188879,0
WIG20,60,20240510,140000,2555.27,2555.71,2549.17,2550.16,2477425,0
WIG20,60,20240510,150000,2550.44,2550.85,2525.02,2531,3968636,0
WIG20,60,20240510,160000,2531.19,2535.37,2526.9,2532.7,3037809,0
WIG20,60,20240510,170000,2533.42,2539.96,2520.75,2523.05,6726057,0
WIG20,60,20240513,100000,2528.66,2536.24,2521.47,2526.04,4121865,0
WIG20,60,20240513,110000,2526.14,2533.13,2523.93,2528,2988405,0
WIG20,60,20240513,120000,2527.41,2537.15,2527.41,2533.58,2200142,0
WIG20,60,20240513,130000,2533.67,2534.53,2524.2,2531.88,1728841,0
WIG20,60,20240513,140000,2532.09,2533.27,2527.19,2531.24,2217832,0
WIG20,60,20240513,150000,2530.89,2535.74,2526.58,2532.85,1597269,0
WIG20,60,20240513,160000,2533.37,2540.76,2527.27,2540.76,2741448,0
WIG20,60,20240513,170000,2541.21,2552.38,2540.17,2547.1,5858690,0
WIG20,60,20240514,100000,2552.04,2555.11,2544.11,2554.38,4688843,0
WIG20,60,20240514,110000,2554.9,2554.98,2547.75,2550.44,2767813,0
WIG20,60,20240514,120000,2550.4,2554.75,2549.32,2551.88,1776344,0
WIG20,60,20240514,130000,2551.51,2555,2549.83,2555,1611669,0
WIG20,60,20240514,140000,2555.3,2559.23,2551.2,2551.71,5118122,0
WIG20,60,20240514,150000,2551.55,2552.36,2526.8,2530.48,6280892,0
WIG20,60,20240514,160000,2530.67,2551.61,2530.08,2548.38,4202733,0
WIG20,60,20240514,170000,2548.21,2562.66,2547.8,2557.21,7479656,0
WIG20,60,20240515,100000,2552.49,2552.49,2540.67,2546.66,4567595,0
WIG20,60,20240515,110000,2544.4,2548.66,2540.24,2547.19,2324826,0
WIG20,60,20240515,120000,2548.35,2558.22,2546.79,2553.59,1887058,0
WIG20,60,20240515,130000,2554.02,2556.24,2548.68,2548.68,1811745,0
WIG20,60,20240515,140000,2548.57,2549.27,2539.93,2540.62,2187403,0
WIG20,60,20240515,150000,2540.96,2554.71,2534.37,2546.86,3310323,0
WIG20,60,20240515,160000,2547.26,2551.46,2540.25,2543.84,3066264,0
WIG20,60,20240515,170000,2544.07,2556.43,2540.3,2555.32,5961349,0
WIG20,60,20240516,100000,2566.15,2574.95,2557.4,2573.9,3425914,0
WIG20,60,20240516,110000,2573.36,2573.36,2565.66,2570.04,1944020,0
WIG20,60,20240516,120000,2570.89,2578.42,2570.89,2572.58,1815423,0
WIG20,60,20240516,130000,2572.7,2575.34,2569.42,2572.96,1449300,0
WIG20,60,20240516,140000,2572.87,2578.73,2570.53,2571.94,1345164,0
WIG20,60,20240516,150000,2572.26,2573.59,2554.26,2560.47,1856072,0
WIG20,60,20240516,160000,2560.69,2567.04,2557.02,2562.17,1910738,0
WIG20,60,20240516,170000,2562.39,2564.26,2557.54,2562.83,4934951,0
WIG20,60,20240517,100000,2559.34,2559.35,2539.71,2544.91,2413372,0
WIG20,60,20240517,110000,2544.8,2547.89,2537.37,2547.06,2292463,0
WIG20,60,20240517,120000,2546.83,2556.88,2545.1,2553.73,2934994,0
WIG20,60,20240517,130000,2553.85,2553.85,2545.66,2548.81,2534615,0
WIG20,60,20240517,140000,2548.73,2549.25,2541.22,2545.55,1502128,0
WIG20,60,20240517,150000,2545.92,2553.8,2545.92,2550.44,1404828,0
WIG20,60,20240517,160000,2550.26,2567.21,2550.26,2564.23,2253612,0
WIG20,60,20240517,170000,2563.53,2576.62,2563.53,2574.96,5678549,0
WIG20,60,20240520,100000,2585.49,2595.44,2581.95,2594.68,4225574,0
WIG20,60,20240520,110000,2596.36,2596.36,2586.89,2589.87,2522638,0
WIG20,60,20240520,120000,2589.94,2596.9,2587.16,2596.39,3862533,0
WIG20,60,20240520,130000,2596.47,2597.06,2587.2,2591.27,3839582,0
WIG20,60,20240520,140000,2591,2596.14,2589.71,2594.16,1762283,0
WIG20,60,20240520,150000,2593.98,2600.53,2591.63,2598.66,1744422,0
WIG20,60,20240520,160000,2599.16,2599.16,2588.94,2589.5,2016068,0
WIG20,60,20240520,170000,2589.78,2593.1,2584.67,2593.1,4575435,0
WIG20,60,20240521,100000,2579.49,2588.31,2574.65,2581.67,2580771,0
WIG20,60,20240521,110000,2581.96,2587.33,2563.02,2569.15,2630819,0
WIG20,60,20240521,120000,2569.01,2569.6,2559.43,2560.56,2159381,0
WIG20,60,20240521,130000,2560.62,2569.23,2560.61,2569.06,1624339,0
WIG20,60,20240521,140000,2568.81,2571.83,2566.63,2569.97,1459141,0
WIG20,60,20240521,150000,2570.57,2570.82,2562.65,2562.78,1615010,0
WIG20,60,20240521,160000,2563.01,2570.25,2559.87,2559.87,2154030,0
WIG20,60,20240521,170000,2557.42,2567.52,2557.42,2567.52,5498971,0
WIG20,60,20240522,100000,2562.52,2562.77,2546.91,2555.24,3741607,0
WIG20,60,20240522,110000,2555.25,2558.97,2546.44,2551.29,2256559,0
WIG20,60,20240522,120000,2551.56,2553.02,2547.64,2550.95,1997236,0
WIG20,60,20240522,130000,2551.11,2555.57,2548.32,2551.93,1856655,0
WIG20,60,20240522,140000,2551.82,2557.07,2548.81,2550.29,1443629,0
WIG20,60,20240522,150000,2550.22,2550.84,2543.4,2545.59,1877485,0
WIG20,60,20240522,160000,2545.18,2551.59,2543.27,2546.97,2057388,0
WIG20,60,20240522,170000,2547.3,2552.7,2542.01,2552.7,5637532,0
WIG20,60,20240523,100000,2547.38,2548.88,2531.41,2537.55,6598000,0
WIG20,60,20240523,110000,2538.05,2541.64,2532.48,2537.94,4283625,0
WIG20,60,20240523,120000,2537.99,2551.97,2535.15,2546.69,3917611,0
WIG20,60,20240523,130000,2547.33,2557.55,2544.27,2556.55,2525112,0
WIG20,60,20240523,140000,2556.49,2556.49,2546.94,2550.01,2294893,0
WIG20,60,20240523,150000,2550.2,2562.84,2550.2,2559.6,2227873,0
WIG20,60,20240523,160000,2559.66,2568.16,2548.18,2548.92,3355499,0
WIG20,60,20240523,170000,2548.92,2552.35,2541.15,2541.37,7908041,0
WIG20,60,20240524,100000,2529.2,2532.69,2520.51,2523.09,8170017,0
WIG20,60,20240524,110000,2523,2534.58,2520.61,2530.87,4165891,0
WIG20,60,20240524,120000,2530.36,2530.36,2522.85,2522.85,2177606,0
WIG20,60,20240524,130000,2522.7,2529.21,2521.27,2523.78,2199360,0
WIG20,60,20240524,140000,2523.28,2526.28,2517.96,2519.83,1690829,0
WIG20,60,20240524,150000,2520.09,2521.09,2512.71,2514.48,2009556,0
WIG20,60,20240524,160000,2514.04,2521.29,2513.56,2520.92,3017878,0
WIG20,60,20240524,170000,2520.93,2531.59,2520.93,2528.8,6544993,0
WIG20,60,20240527,100000,2534.98,2549.04,2534,2543.31,2440173,0
WIG20,60,20240527,110000,2543.58,2544.53,2533.91,2538.32,1630097,0
WIG20,60,20240527,120000,2539.78,2539.91,2534.43,2534.91,2291438,0
WIG20,60,20240527,130000,2534.74,2536.04,2531.85,2531.99,2034259,0
WIG20,60,20240527,140000,2531.94,2536.59,2531.64,2534.36,1321350,0
WIG20,60,20240527,150000,2534.22,2536.87,2532.97,2535.22,1991754,0
WIG20,60,20240527,160000,2535.21,2535.21,2528.52,2531.24,3833136,0
WIG20,60,20240527,170000,2531.09,2532.46,2525.02,2530.08,4554128,0
WIG20,60,20240528,100000,2537,2542.56,2516.34,2516.34,2691471,0
WIG20,60,20240528,110000,2516.23,2523.64,2514.86,2516.98,1577368,0
WIG20,60,20240528,120000,2516.98,2520.75,2512.33,2512.75,1556256,0
WIG20,60,20240528,130000,2512.12,2512.12,2497.29,2498.25,2271174,0
WIG20,60,20240528,140000,2498.39,2507.48,2497.72,2506.95,1571826,0
